record_id,redcap_data_access_group,redcap_survey_identifier,annual_survey_timestamp,start_date,host,host_other,facility_type,facitity_type_other,position,position_other_5,accreditation,support___1,support___2,support___3,support___4,support___5,support___6,support___7,support___8,host_other_2,staff_cost,staff_cost_currency,staff_other_dollars,ac_female_fte_con,ac_female_fte_ft,ac_female_fte_cas,ac_female_fte_cal,ac_male_fte_con,ac_male_fte_ft,ac_male_fte_cas,academic_male_fte,ac_other_fte_con,ac_other_fte_ft,ac_other_fte_cas,ac_other_fte_cal,pro_female_fte_con,pro_female_fte_ft,pro_female_fte_cas,pro_female_fte_cal,pro_male_fte_con,pro_male_fte_ft,pro_male_fte_cas,pro_male_fte,pro_other_fte_con,pro_other_fte_ft,pro_other_fte_cas,pro_other_fte_cal,ad_female_fte_con,ad_female_fte_ft,ad_female_fte_cas,ad_female_fte_cal,ad_male_fte_con,ad_male_fte_ft,ad_male_fte_cas,ad_male_fte,ad_other_fte_con,ad_other_fte_ft,ad_other_fte_cas,ad_other_fte_cal,staff_total_fte_cal,no_ms_q_ot_it,no_ms_q_ot_it_ionmob,no_ms_q_ot,no_ms_q_ot_ionmob,no_ms_qtof,no_ms_qtof_ionmob,no_ms_qqq,no_ms_qqq_ionmob,no_ms_tof_tof,no_ms_tof_tof_ionmob,no_ms_ft_icr,no_ms_ft_icr_ionmob,no_ms_it,no_ms_it_ionmob,no_ms_s_q,no_ms_s_q_ionmob,no_ms_other,no_ms_other_ionmob,no_ms_total,no_ms_q_ot_it_new19,no_ms_q_ot_new19,no_ms_qtof_new19,no_ms_qqq_new19,no_ms_tof_tof_new19,no_ms_ft_icr_new19,no_ms_it_new19,no_ms_s_q_new19,no_ms_other_new19,no_ms_q_ot_it_new19_fund,no_ms_q_o_new19_fund,no_ms_qtof_new19_fund,no_ms_qqq_qtrap_new19_fund,no_ms_tof_tof_new19_fund,no_ms_ft_icr_new19_fund,no_ms_it_new19_fund,no_ms_s_q_new19_fund,no_ms_other_new19_fund,ms_other_type,ms_fund_source_other_info,ms_fund_source_host,ms_fund_source_phil,ms_fund_source_state,ms_fund_source_fed,ms_fund_source_riip,ms_fund_source_charity,ms_fund_source_self,ms_fund_source_other,ms_fund_source_total,maintenance_cost,maintenance_cost_currency,maintenance_other_dollars,maintenance_warranty,maintenance_ful,maintenance_prev,maintenance_none,maintenance_other,ms_decom,ms_decom_model,soft_hdi,soft_scils,soft_byonic,soft_dia_nn,soft_ency,soft_mascot,soft_md,soft_mh,soft_mq,soft_metamorph,soft_msfragger,soft_openms,soft_peaks,soft_swath,soft_pqip,soft_pd,soft_pp,soft_scaf,soft_spec,soft_swathx,soft_tpp,soft_analyst,soft_cd,soft_chemstation,soft_ls,soft_lv,soft_pqi,soft_mlynx,soft_msdial,soft_metab_express,soft_freestyle,soft_gcimage,soft_insight,soft_multiq,soft_qual,soft_skyline,soft_sciexos,soft_targetlynx,soft_tf,soft_other,pricing_subscription,pricing_fee4service_per_sample,pricing_fee4service_per_hr,pricing_self_per_sample,pricing_self_per_hour,pricing_other,ms_fund_source_total_2,rates___1,rates___2,rates___3,rates___4,rates_other,rates_ac_int_to_ac_ex,rates_ac_int_to_com,rates_driver_prof,rates_driver_market,rates_driver_costs,rates_driver_subs,rates_driver_other,rates_other_what,customer_type_ac,customer_type_clinicians,customer_type_student,customer_type_comm,customer_type_other,customer_type_total,customer_type_other_what,customer_location_dept,customer_location_institute,customer_location_city,customer_location_state,customer_location_aus,customer_location_asia,customer_location_world,customer_type_total_2,signup_email,signup_excel,signup_project,signup_custom,signup_package,signup_job,signup_don_t,signup_other,signup_other_what,train_vendor_mat,train_vendor_live,train_inhouse_online,train_inhouse_group,train_inhouse_1to1,train_other,train_other_what,tracking_excel,tracking_custom,tracking_package,tracking_job,tracking_dont,tracking_other,tracking_other_what,satisfcation,marketing_budget,marketing_budget_other_what,marketing_plan,marketing_personnel,your_market___1,your_market___2,your_market___3,your_market___4,your_market___5,your_market___6,your_market___7,marketing_platforms___1,marketing_platforms___2,marketing_platforms___3,marketing_platforms___4,marketing_platforms___5,marketing_platforms___6,marketing_platforms___7,marketing_platforms___8,marketing_platforms___9,marketing_platforms___10,marketing_other,costs_user_fees,costs_charity,costs_state,costs_fed,costs_host,costs_philan,costs_other,costs_total,funding_applications,constraint_none,constraint_staff,constraint_services,constraint_price_up,constraint_price_down,constraint_subcontract,constraint_delay_equip,constraint_delay_infra,constraint_delay_projects,constraint_inc_util,revenue_currency,revenue_other_dollars,revenue_target,revenue_change,plan_fee4service,revenue,plan_self_service,plan_instrument_cap,plan_data,plan_staff,revenue_spend___1,revenue_spend___2,revenue_spend___3,revenue_spend___4,revenue_spend___5,revenue_spend___6,revenue_spend___7,revenue_spend_other_what,new_app_cetsa,new_app_flux,new_app_gly,new_app_hdx,new_app_clin,new_app_lipid,new_app_msi,new_app_meta,new_app_modi,new_app_proteomics,new_app_single,new_app_native,new_app_tails,new_instrument_2020,new_instrument_what,staff_change_this_year,staff_change_fte,user_change_this_year,user_change,fee4service_change_year,fee4service_change,fantasy_instrument,challenge,comments,email_for_results,annual_survey_complete
1,,,[not completed],9/05/2022,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,741364,NZ Dollars,,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,1,1,1,3,27,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,9,1,1,1,1,1,1,1,1,1,Second hand,New,Second hand,New,New,New,New,New,New,,,0,0,0,0,0,0,0,0,0,0,Other,,,,,,,Yes,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,0,0,,,0,,0,0,0,0,0,0,0,Checked,Checked,Checked,Unchecked,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,0,0,0,0,0,0,0,0,,,,,,,,,,,,NZ Dollars,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,Incomplete
2,,,[not completed],8/07/2022,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
3,,,[not completed],8/07/2022,Research Institute,,Core facility,,Technical/Professional staff,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,,4,,,,Yes,Agilent 6490 QQQ,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,0,10,0,40,40,10,100,Checked,Checked,Checked,Unchecked,,50,,5,NA,1,3,,,80,0,10,10,0,100,,0,80,15,0,5,0,0,100,3,,,2,,,,1,,3,2,,,1,,,2,,4,,,,,No,An ad hoc budget less than $10k per annum,,Yes,No,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
4,,,8/08/2022 19:32,8/07/2022,University,,Core facility,,Director,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,,858751,,,0,0,0,0,0.4,0.9,0,1.3,0,0,0,0,1.9,0,0,1.9,2,1,0,3,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,0,0,0,7,3,2,8,1,4,2,6,0,1,0,0,0,0,0,1,0,0,0,23,0,0,1,0,0,,,0,,,,Seed/on loan,,,,,,,,,0,0,0,0,0,0,0,0,0,375148,,,1,21,0,1,,Yes,6600 QToF,1,1,1,3,0,1,0,2,3,1,0,0,0,5,1,3,2,1,1,0,0,2,2,2,3,2,1,1,1,0,7,0,1,1,5,3,1,0,4,UniDec,0,5,0,95,0,0,100,Checked,Checked,Checked,Unchecked,,50,100,4,1,2,3,,,42,10,45,3,0,100,,0,70,25,5,0,0,0,100,2,1,3,NA,NA,4,NA,NA,,4,3,5,2,1,NA,,NA,NA,NA,NA,1,NA,,No,No,,No,No,Checked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,,38,0,0,0,62,0,0,100,No,NA,NA,6,4,NA,NA,1,2,3,5,,,Yes,Gone up,3,504969,3,3,3,3,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,Would like,"Already do, a bit","Already do, a bit",Would like,"Already do, a bit","Already do, a bit","Already do, a bit","Already do, a lot","Already do, a lot","Already do, a lot",Getting this,"Already do, a bit",Would like,Yes,7500,go up,0.9,go up,10,go up,10,"7600, the loan instrument is going well.",Staff (getting funding & retaining),,,Complete
5,,,8/07/2022 15:34,8/07/2022,University,,Core facility,,Director,,No - and we don't have plans for accreditation in 2022,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,,,,,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,1,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,6,,0,0,0,,,,1,,,,,,,,,Seed/on loan,,,,0,0,0,0,0,0,0,100,100,100000,,,2,2,,2,,No,,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,,0,0,100,0,0,0,100,Checked,Checked,Unchecked,Unchecked,,0,,NA,NA,2,1,NA,,25,0,75,0,0,100,,60,30,5,0,0,0,5,100,4,3,NA,1,NA,2,NA,NA,,5,4,3,2,1,NA,,2,NA,NA,1,NA,NA,,Yes,No,,No,No,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,20,0,0,0,80,0,0,100,Yes,1,NA,NA,NA,NA,NA,2,3,NA,NA,,,No,Stayed the same,,,,2,2,1,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,No plans for,No plans for,Would like,No plans for,Would like,"Already do, a lot","Already do, a bit","Already do, a lot",Would like,"Already do, a lot",Would like,Would like,"Already do, a bit",No,,stay the same,,go up,20,stay the same,,Waters Cyclic IMS for higher resolution separation.,Trying to get more human resources.,,,Complete
6,,,8/07/2022 17:03,8/07/2022,Research Institute,,Core facility,,Technical/Professional staff,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Checked,Checked,Checked,Unchecked,Unchecked,,260000,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,2,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,6,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,90000,,,,2,,,,No,,0,0,0,0,0,1,0,0,3,0,0,0,0,2,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,,0,0,50,0,50,0,100,Checked,Checked,Checked,Unchecked,,50,200,5,3,1,1,,,70,20,10,0,0,100,,0,65,20,0,5,0,10,100,1,5,7,8,5,8,8,,,3,6,6,4,1,,,1,5,1,5,5,,,No,No,,No,No,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,25,0,0,0,75,0,0,100,No,NA,1,4,2,10,10,6,6,10,7,,,Yes,Gone up,1,60000,1,2,1,1,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,No plans for,No plans for,No plans for,Would like,Would like,No plans for,No plans for,"Already do, a bit","Already do, a lot","Already do, a lot",Would like,Would like,No plans for,No,,stay the same,,stay the same,,go up,25,Exploris 480. It's a workhorse plus has a lot of extra capabilities.,Not many large grants and harder to get.,Why are vendors still making shit software after so many years?,,Complete
7,,,15/08/2022 10:24,15/08/2022,University,,Core facility,,Director,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,,,,,0,0.6,0,0.6,0,2,0,2,0,0,0,0,0,5,0,5,0,4.2,0,4.2,0,0,0,0,0,1.5,0,1.5,0,0,0,0,0,0,0,0,13.3,1,0,3,0,3,0,6,0,1,0,1,1,1,0,5,0,5,0,26,,,,,,,,1,,,,,,,,,New,,IT-Orbitrap.  Magentic sector,,1,0,0,0,0,0,0,0,1,0,,,3,1,,22,,No,,0,1,0,0,0,1,0,3,6,0,0,0,1,0,1,2,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,4,0,0,0,,0,26,26,26,22,0,100,Checked,Checked,Checked,Unchecked,,100,400,3,3,1,3,NA,,40,5,40,10,5,100,Government,0,85,5,4,5,1,0,100,2,2,2,2,NA,2,NA,NA,,3,4,3,3,1,NA,,2,1,NA,1,NA,NA,,No,An ad hoc budget less than $10k per annum,,No,No,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,30,0,0,0,70,0,0,100,Yes,NA,7,5,3,NA,NA,8,8,5,4,,,Yes,Gone down,3,,3,3,3,3,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,,No plans for,"Already do, a bit","Already do, a bit",Would like,Would like,"Already do, a lot","Already do, a bit","Already do, a lot","Already do, a lot","Already do, a lot",Would like,"Already do, a lot",No plans for,Yes,Orbitap and triple Quad,stay the same,,stay the same,,go down,10,Orbitrap.  ,Instrument replacement.  Staff retention.  Project completions on budget,,,Complete
8,,,11/07/2022 12:34,11/07/2022,University,,Core facility,,Manager,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,,436000,NZ Dollars,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,0,0,0,6,,,0,,,,,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,100000,NZ Dollars,,,,2,4,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,,0,70,0,20,10,0,100,Checked,Checked,Checked,Unchecked,,30,250,4,2,3,1,,,50,5,30,15,0,100,,35,45,15,0,5,0,0,100,NA,NA,NA,NA,1,2,NA,NA,,NA,NA,NA,4,1,,,NA,NA,1,2,NA,,,No,Yes - less than $10k per annum,,No,No,Checked,Checked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,Checked,Unchecked,Checked,Unchecked,Unchecked,,35,0,0,0,65,0,0,100,No,NA,2,1,NA,NA,NA,NA,NA,3,NA,NZ Dollars,,Yes,Stayed the same,0,250000,0,3,0,3,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,No plans for,No plans for,Would like,Would like,No plans for,"Already do, a bit","Already do, a bit","Already do, a lot","Already do, a bit","Already do, a lot",No plans for,"Already do, a bit",No plans for,No,,stay the same,,stay the same,,stay the same,,"7600 ZenoTOF for SWATH, PTM analysis using EAD",Getting agreement for funds to replace old instrumentation,"Getting approval to hire enough staff for the amount of instruments we have, and to properly tackle the diversity and complexity of projects is a constant hassle for us.",,Complete
9,,,12/07/2022 11:49,12/07/2022,University,,Other,School based shared facility,Technical/Professional staff,,No - and we don't have plans for accreditation in 2022,Checked,Checked,Checked,Unchecked,Checked,Checked,Checked,Unchecked,,24677,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,1,0,0.1,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,5,,,,,,0,0,0,0,,,,,,,,,,"MALDI-TOF, ICPMS",,0,0,0,0,0,0,0,100,100,43204.8,,,0,0,0,5,0,No,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,65,7,0,27,1,100,Checked,Unchecked,Checked,Checked,School internal rates,,100,5,2,1,2,,,20.6,0.2,68.9,10.2,0.1,100,,66,17,15,2,0,0,0,100,1,3,NA,2,NA,NA,NA,NA,,4,5,3,2,1,NA,,1,3,2,NA,NA,NA,,No,No,,No,No,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,Checked,Checked,Checked,Unchecked,Unchecked,Unchecked,,100,0,0,0,0,0,0,100,Yes,10,4,6,5,9,8,2,3,7,1,,,No,Stayed the same,1,144224,1,10,3,2,Checked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,"Already do, a bit",Don't know,Don't know,Don't know,Don't know,Don't know,Don't know,No,,stay the same,,stay the same,,stay the same,,GCMS with automated headspace/spme sampling/pyrolysis source,COVID impact on research pipeline/funding reducing number of students,,,Complete
10,,,22/08/2022 12:16,22/08/2022,University,,Research group,,Academic staff,,No - and we don't have plans for accreditation in 2022,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,,110000,NZ Dollars,,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,,,,0,,,,,,,,,,,,,,,,100,0,0,0,0,0,0,0,100,102000,NZ Dollars,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,,0,0,0,0,100,0,100,Checked,Unchecked,Unchecked,Unchecked,,,,,,1,1,,,20,0,80,0,0,100,,80,10,10,0,0,0,0,100,1,2,1,,,,,,,1,1,,1,1,,,1,,,1,,,,,No,,Yes,No,Checked,Checked,Checked,Unchecked,Checked,Checked,Unchecked,Unchecked,Checked,Checked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,Unchecked,,10,0,0,0,90,0,0,100,Yes,NA,NA,1,NA,NA,NA,NA,NA,1,1,NZ Dollars,,Yes,,,0,1,,,,Checked,Unchecked,Unchecked,Checked,Unchecked,Unchecked,Unchecked,,Don't know,Would like,Would like,No plans for,Would like,"Already do, a bit","Already do, a bit","Already do, a bit",Would like,"Already do, a lot",Would like,Would like,No plans for,No,,go up,0.5,stay the same,,stay the same,,has metabolomics focus maybe with imaging capacity,Funding and staff,,,Complete
